epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.4,1.4646,3.79052,1.52563,0.01835,0.52329,0.12498,0.08303,1.45958,3.87157,1.61946,8.888e-05,8.888e-05,8.888e-05
2,281.027,1.37437,3.24792,1.35063,0.01793,0.68226,0.16988,0.11105,1.49361,3.77725,1.58423,0.000182637,0.000182637,0.000182637
3,410.206,1.44259,2.56162,1.37122,0.0214,0.78307,0.37708,0.2506,1.44112,3.50596,1.48379,0.000269795,0.000269795,0.000269795
4,540.053,1.51444,2.27267,1.45394,0.02638,0.82345,0.39338,0.24221,1.46244,3.05717,1.41927,0.000350354,0.000350354,0.000350354
5,664.794,1.44616,2.20046,1.3952,0.73136,0.42896,0.61111,0.37949,1.64781,2.93711,1.55716,0.000424313,0.000424313,0.000424313
6,791.403,1.48349,1.76507,1.3553,0.59613,0.56171,0.64548,0.40175,1.52109,2.52987,1.46997,0.000491673,0.000491673,0.000491673
7,920.16,1.54619,1.98149,1.41163,0.4554,0.58735,0.64531,0.41329,1.63697,2.60683,1.56709,0.000552434,0.000552434,0.000552434
8,1047.13,1.2851,1.53974,1.29942,0.67701,0.7109,0.74548,0.50149,1.51415,1.90248,1.45972,0.000606595,0.000606595,0.000606595
9,1175,1.33061,1.37815,1.25001,0.73883,0.68843,0.75297,0.49283,1.56714,2.14942,1.49931,0.000654157,0.000654157,0.000654157
10,1301.64,1.3548,1.55063,1.32522,0.72455,0.73565,0.82448,0.53473,1.42511,2.06947,1.42474,0.000695119,0.000695119,0.000695119
11,1428.7,1.40475,1.62179,1.36108,0.63413,0.77546,0.8408,0.54624,1.37057,2.04187,1.37886,0.000729483,0.000729483,0.000729483
12,1557.22,1.30605,1.48142,1.25914,0.70896,0.68582,0.80238,0.51647,1.32874,2.0797,1.35464,0.000707707,0.000707707,0.000707707
13,1684.18,1.32035,1.29872,1.26353,0.78465,0.72059,0.81929,0.55496,1.27223,1.60971,1.29663,0.000671044,0.000671044,0.000671044
14,1811.99,1.34618,1.40283,1.29666,0.83744,0.77569,0.87577,0.60318,1.19043,1.20628,1.21935,0.000634381,0.000634381,0.000634381
15,1937.82,1.24853,1.304,1.24178,0.80182,0.81432,0.8896,0.60813,1.40259,1.2513,1.32145,0.000597718,0.000597718,0.000597718
16,2061.47,1.32432,1.28411,1.2753,0.8137,0.8839,0.91646,0.64826,1.24943,1.08269,1.22659,0.000561055,0.000561055,0.000561055
17,2185.31,1.22796,1.28947,1.23226,0.85923,0.86281,0.91708,0.64452,1.29595,1.13109,1.27363,0.000524392,0.000524392,0.000524392
18,2311.63,1.19117,1.16014,1.21499,0.85222,0.8909,0.92846,0.65484,1.2197,1.10823,1.21984,0.000487729,0.000487729,0.000487729
19,2437.92,1.20977,1.31023,1.23129,0.90073,0.89421,0.94541,0.68897,1.15294,1.03033,1.19229,0.000451066,0.000451066,0.000451066
20,2565.67,1.23418,1.28653,1.23878,0.90764,0.9014,0.9521,0.68465,1.18869,1.00881,1.22116,0.000414403,0.000414403,0.000414403
21,2692.21,1.16648,1.27587,1.23549,0.86829,0.92064,0.94398,0.69197,1.18907,1.02763,1.21628,0.00037774,0.00037774,0.00037774
22,2816.92,1.18608,1.22589,1.22063,0.8756,0.90465,0.93831,0.67895,1.20153,1.06296,1.22585,0.000341077,0.000341077,0.000341077
23,2937.71,1.13222,1.28014,1.19766,0.92103,0.87492,0.94672,0.6886,1.06584,0.9891,1.15377,0.000304414,0.000304414,0.000304414
24,3061.49,1.13967,1.12705,1.19314,0.91503,0.93413,0.96146,0.70452,1.03441,0.92703,1.13292,0.000267751,0.000267751,0.000267751
25,3187.34,1.14409,1.32126,1.2462,0.91145,0.92622,0.95942,0.70771,1.07686,0.89959,1.17412,0.000231088,0.000231088,0.000231088
26,3309.63,1.03437,1.08289,1.12831,0.90625,0.91798,0.95722,0.70661,1.09524,0.92954,1.19715,0.000194425,0.000194425,0.000194425
27,3432.6,1.02402,1.16603,1.17575,0.91897,0.92214,0.96465,0.71469,1.07192,0.91057,1.16291,0.000157762,0.000157762,0.000157762
28,3558.68,1.06015,1.12354,1.17563,0.9505,0.91603,0.96995,0.72259,0.96322,0.84397,1.10527,0.000121099,0.000121099,0.000121099
29,3682.04,1.0739,1.05345,1.16592,0.94008,0.93504,0.97023,0.72684,0.94452,0.83467,1.0938,8.4436e-05,8.4436e-05,8.4436e-05
30,3803.99,1.07705,1.08354,1.17145,0.96172,0.93195,0.97113,0.73221,0.93225,0.82387,1.08878,4.7773e-05,4.7773e-05,4.7773e-05
